max_value,0.9974672857745884,0.9579074715280964,0.9959497088853261,0.9871545677343023
index_set,64,75,66,66
mean_value,0.49546976704248097,0.36746382560344687,0.23733912011597458,0.1251746790622539

experiment,N10_CE,N30_CE,N50_CE,N70_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.8302098800112364,0.698338847532396,0.06559607028150383,0.03630039846018773,0.947589,0.0542304,0.0780654,81,0.00850008,0.0213137,0.29153,55,0.189711,0.000815943,0.00447401
1,0.5716455836049273,0.26167092169019956,0.17424443853585037,0.08247706602493066,0.921916,0.0306619,0.252714,71,0.00738419,0.0323592,0.0343797,63,0.90907,0.000709694,0.00657019
2,0.0,0.0,0.0,0.0,0.994965,0.0907084,0.418111,68,0.00211381,0.0375342,0.0532226,76,0.674406,0.000907941,0.00339128
3,0.0,0.0,0.0,0.0,0.991731,0.09113,0.342696,91,0.00679202,0.0482995,0.0831833,58,0.574016,0.000784579,0.00760075
4,0.22100868036479504,0.04787738161377819,0.05726049958825141,0.03497726477789442,0.91796,0.0879707,0.453286,35,0.00352366,0.0352295,0.385775,14,0.998615,0.000462887,0.00775976
5,0.019799890235150053,0.001357312521207965,0.0010587388303053835,0.0,0.987467,0.052685,0.116204,77,0.00167783,0.0361636,0.495506,19,0.792864,0.000855378,0.00929297
6,0.7095617037067579,0.713781208935611,0.03947964266600801,0.019151846785225746,0.965711,0.060242,0.218654,6,0.00897284,0.0285583,0.153921,19,0.458766,0.000797459,0.00746203
7,0.539130691200755,0.4206579990867799,0.3467859161754018,0.28861684944316923,0.94744,0.0227285,0.36262,82,0.00175933,0.0130868,0.391539,75,0.988684,0.000536364,0.00961707
8,0.864955263818045,0.7866657040753708,0.8108384860777441,0.06891222508420847,0.964884,0.033403,0.435042,26,0.0052605,0.0499488,0.105498,77,0.211436,0.000434088,0.00535622
9,0.5205627955253143,0.20560600905545812,0.12463240146775423,0.058342715137302936,0.934291,0.00507861,0.291344,63,0.00345419,0.0271476,0.300771,52,0.396131,0.000254198,0.00345944
10,0.4839634620898702,0.4788978521935261,0.5641295256303023,0.7081176505789772,0.979881,0.000930207,0.384033,16,0.00278587,0.047451,0.413238,30,0.380315,0.000991371,0.00371115
11,0.666841141062549,0.26231259808340845,0.16780565818407978,0.07652966682726159,0.93791,0.00576121,0.466713,21,0.00373016,0.0178057,0.235968,97,0.361029,0.000390321,0.00206611
12,0.5712792148662778,0.03804433265209872,0.05729529111575038,0.0330874376220438,0.950575,0.0864501,0.161355,9,0.00700033,0.0241545,0.321613,36,0.548759,0.00033081,0.0010176
13,0.41674269565410893,0.3602723885391237,0.09597086507142671,0.03827569357728433,0.932287,0.0566705,0.0559379,7,0.00956437,0.0431502,0.261059,37,0.920385,0.00066331,0.00432095
14,0.6823461091753775,0.5384755986108573,0.46152480301853294,0.13499004894841593,0.930208,0.0398934,0.309636,13,0.00101469,0.0258402,0.450402,9,0.2496,0.000356965,0.005906
15,0.15046153846153842,0.07841465427141203,0.049223395834097294,0.022744208875914884,0.911513,0.00207745,0.473342,66,0.00593211,0.0221437,0.205836,66,0.648275,0.000559167,0.008344
16,0.6930303782799437,0.16570388541584236,0.044799869435717454,0.02504716413117647,0.962273,0.0736031,0.288729,12,0.00815734,0.0409433,0.094321,43,0.411918,0.000980047,0.000534218
17,0.30802443991853357,0.18118668596237342,0.06526546507759445,0.03081917363522424,0.912241,0.077798,0.313467,5,0.00948084,0.0294129,0.00639002,2,0.512925,0.000174568,0.00143926
18,0.470537867009171,0.3734415830524027,0.27666377006443577,0.15646265759327604,0.931521,0.029542,0.479399,96,0.00300842,0.0173397,0.395158,95,0.599406,0.000217906,0.00307426
19,0.2733218588640275,0.2060504812882843,0.06852275387635287,0.028633057819688057,0.90376,0.0672932,0.0106934,24,0.00426179,0.0401901,0.0599249,84,0.611466,0.00036786,0.00354236
20,0.6430436404326744,0.436748901140781,0.06337834954120047,0.037870846000628955,0.928709,0.0597807,0.427854,94,0.00652786,0.0464753,0.0375742,4,0.15694,0.000294396,0.00703686
21,0.4378265006894141,0.15404122929711495,0.08980180522866499,0.038599846716027786,0.914803,0.00997906,0.335063,59,0.00716925,0.0185374,0.431336,17,0.268154,0.000214957,0.00618416
22,0.052286773794808394,0.0272898883782009,0.04437120694505847,0.027520050322377698,0.959636,0.0783101,0.36703,44,0.00905974,0.0181706,0.427936,20,0.726854,0.000868646,0.00311886
23,0.7664233576642336,0.8116885827593404,0.5972158354583839,0.1663253792469389,0.980354,0.0360672,0.495932,3,0.00413605,0.0244561,0.268391,4,0.891379,0.000432197,0.00013397
24,0.8950486669487939,0.5379038412617654,0.3031856307718377,0.0,0.997697,0.0402937,0.0904324,38,0.00754695,0.039069,0.38,49,0.304122,0.000314368,0.00248249
25,0.3542886938385331,0.23755167230364527,0.06946841396574943,0.05026965654271931,0.902755,0.0627221,0.246979,20,0.00730942,0.0192377,0.175039,23,0.32339,0.000508166,0.00855693
26,0.8914271263592684,0.954537994419826,0.8172853363264652,0.0023507681974644923,0.975521,0.0349128,0.0229886,62,0.00877589,0.0477048,0.274698,16,0.523541,0.000448197,0.00199572
27,0.8428669604236568,0.493253589899165,0.3871217553420335,0.027711065952336966,0.954341,0.0374076,0.353122,87,0.00868473,0.0405538,0.47993,93,0.746059,0.000132645,0.00407855
28,0.4960970307791117,0.3862202340255123,0.09277392609534696,0.03517528223410571,0.923566,0.0533938,0.112486,17,0.00840948,0.0460019,0.0669483,25,0.371074,0.000380698,0.00112697
29,0.8190502950266929,0.7288696458945415,0.5541184479237576,0.2867593269934162,0.954795,0.0117381,0.410956,66,0.00323433,0.0168877,0.326908,31,0.195215,0.000929398,0.00606655
30,0.28449905482041593,0.038963569062926195,0.05676855895196509,0.033669319186560576,0.950021,0.0959471,0.423517,3,0.00224755,0.0109295,0.163526,72,0.659715,0.00082822,0.000976798
31,0.14761506713337857,0.04650798621985597,0.04680138205423512,0.029588133186050136,0.907691,0.0933904,0.104698,82,0.00027191,0.0264437,0.471638,87,0.468569,0.000124825,0.00321921
32,0.25324044069993523,0.018454971543354515,0.03385025846256462,0.012188044109112006,0.970329,0.0746186,0.126529,48,0.00288005,0.0455874,0.354664,21,0.959099,0.000738459,0.00386131
33,0.6850511503780681,0.03838801544883552,0.05990818668706965,0.03306855163243172,0.94945,0.0897751,0.141793,51,0.000157283,0.0289823,0.0766123,24,0.281349,0.000774472,0.0058172
34,0.8378892322319943,0.681889658402757,0.6402271212955184,0.37949510354792104,0.94384,0.0213024,0.326594,76,0.000919215,0.0225756,0.192614,60,0.147408,0.000401041,0.00845373
35,0.8927817644575771,0.945676833879506,0.9857602204869086,0.9741497162268528,0.981616,0.0191551,0.227061,70,0.00405438,0.0357846,0.283608,26,0.108382,0.000968631,0.00919319
36,0.4302202258406638,0.2571899076633535,0.07384319816873774,0.030154996682950408,0.909458,0.057773,0.43002,38,0.00927451,0.0188202,0.219628,68,0.117101,0.000683498,0.00556101
37,0.7693989990326786,0.8366471898776746,5.928686372490555E-4,0.0,0.985367,0.061959,0.459296,19,0.00476886,0.0387213,0.288634,5,0.142697,0.000644666,0.00687474
38,0.18267283188482986,0.10238815948299873,0.052542263767108244,0.026573997782891268,0.900832,0.0072568,0.460914,60,0.00499394,0.036584,0.222785,67,0.954791,0.000269775,0.00903702
39,0.02467313369886126,8.906230120021563E-4,0.0020732842515021055,0.0,0.983981,0.0763125,0.395185,52,0.0060462,0.0203516,0.133936,2,0.938493,0.000874701,0.00873543
40,0.6399671000601057,0.5692449408445839,0.05925166581240393,0.038925310231795796,0.936129,0.0556535,0.323525,72,0.00667241,0.0207947,0.469324,98,0.296257,0.000113462,0.00870021
41,0.875497249259416,0.6871605566870332,0.10302465474879263,0.0,0.996837,0.0494646,0.388411,65,0.00635454,0.011813,0.155694,82,0.175917,0.000317166,0.00490832
42,0.761689631804834,0.6881401534839637,0.5207091775923719,0.03875332523235575,0.944899,0.0462364,0.0524724,39,0.00793065,0.0490887,0.401335,40,0.336413,0.000484954,0.00946795
43,0.6687598720961591,0.7427506213753107,0.512989222915485,0.014231184134096742,0.971713,0.0417338,0.198123,32,0.00488252,0.0308354,0.0887009,56,0.84403,0.000805005,0.00470333
44,0.7596350922316442,0.14215141883353122,0.06486316698731787,0.029316204205101393,0.953127,0.0802096,0.371836,2,0.00629018,0.0316212,0.319297,12,0.515605,0.000246575,0.00714708
45,0.6130993809297044,0.6520866469741725,0.05105768072893668,0.029048960633518583,0.957873,0.064293,0.26512,37,0.00119841,0.0333677,0.375571,45,0.562757,0.000593535,0.0012514
46,0.8797569825331195,0.8328912466843501,0.6638251181634032,0.11086249841685314,0.98879,0.0277915,0.208431,61,0.00785981,0.0121829,0.447866,90,0.621246,0.000164243,0.00935058
47,0.6721318367175348,0.5610984175340611,0.3001210502149685,0.0,0.984477,0.0457664,0.241207,85,0.000505544,0.0113389,0.335709,61,0.655294,0.000419954,0.00677764
48,0.5505270334050029,0.435469505471202,0.37969912045369647,0.17215624766599447,0.935169,0.0183132,0.153365,16,0.000787697,0.0420413,0.114754,74,0.75169,0.000204189,0.00977856
49,0.30866923232732424,0.2626036854914816,0.05294746850487286,0.03510555306021135,0.923915,0.0701236,0.378619,23,0.00273345,0.0370407,0.122882,89,0.854444,0.000105733,0.00504994
50,0.05340821495430015,0.04776807774666447,0.053084733685648144,0.033329592638312144,0.919816,0.0969194,0.186168,87,0.00136193,0.0216721,0.437174,53,0.87685,0.000578838,0.00793534
51,0.18538454520572945,0.04643382008067287,0.046469319333627856,0.02893462703265759,0.905146,0.0793503,0.213969,63,0.0068952,0.0210085,0.362786,35,0.867864,0.000756632,0.00416961
52,0.6864613258663952,0.662118891827927,0.5223660269834186,0.029876450767502782,0.955504,0.0476742,0.081252,34,0.0070834,0.0380809,0.34695,23,0.499941,0.000149155,0.00785777
53,0.052599086306951426,0.036834427425237015,0.057580645161290356,0.02635319426837235,0.958472,0.0838436,0.255822,54,0.00654584,0.0307835,0.0172913,93,0.71949,0.000950105,0.00396552
54,0.5556650974786188,0.5594848390719458,0.5072026182958029,0.5994645588985212,0.976961,0.00892118,0.231632,93,0.000803047,0.0443715,0.463316,82,0.813273,0.00084311,0.00299534
55,0.8114018261336607,0.6488023762876824,0.3827330544502262,0.19079233972850995,0.941976,0.0143149,0.262824,94,0.000672977,0.0106695,0.0010737,71,0.309076,0.000274592,0.00806268
56,0.6000680928332294,0.48954833893243743,0.46140932374843957,0.23263820476392938,0.940121,0.0253548,0.00731136,8,0.00141444,0.0439686,0.0448591,13,0.964125,0.000342271,0.00517655
57,0.11575039414128063,0.10201490924805534,0.05536744087614409,0.029623192985227864,0.908195,0.0947795,0.168958,31,0.00254075,0.0432767,0.334337,69,0.398441,0.000914667,0.00451375
58,0.47372515357171596,0.12680518028510201,0.06349836596316549,0.03869497230394103,0.926838,0.0843471,0.237223,28,0.00572181,0.0451284,0.278941,35,0.343813,0.000544762,0.00883094
59,0.5549505735581752,0.35827731092436976,0.2708119786163721,0.057222609909281186,0.919411,0.0443607,0.271947,45,0.00117016,0.030388,0.0482688,46,0.167794,0.000138633,0.00637866
60,0.35856839298362564,0.29041340930170934,0.049563409563409544,0.0320430384087792,0.915757,0.0689085,0.173195,56,0.00469881,0.0234732,0.23124,11,0.420827,0.000884055,0.00022712
