max_value,0.9357399640503296,0.9286568353925867,0.9768564768564768,0.8980238988359952,0.9924071136908177,0.9978597722797705,0.9987044865675713,0.9514591399192374,0.9926171079429735,0.9966224774128177,0.9989869143098353,0.8781776884773302,0.9740635494704211,0.8923030118649224,0.8936044449698546,0.887721918435189,0.8853001417992752,0.9171686746987951,0.8436936936936936,0.7756044553110568,0.6899625371399044,0.6557914232796695
index_set,84,35,99,10,99,35,99,26,66,64,84,41,26,24,24,24,24,84,46,23,26,46
mean_value,0.4495543898461402,0.4648261773413245,0.48599094861430997,0.5108885833988576,0.5517635299944412,0.5464735109444586,0.5349162804233447,0.519057904511615,0.38358073409918947,0.2434680533245038,0.13312133570291143,0.5338152668087435,0.5230325391513891,0.513593696505483,0.4915060201889607,0.47636456024405666,0.45174828323556604,0.44777155604781527,0.4093268181670211,0.3590012245476046,0.31576102636136755,0.282499627939637

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.5140591204037491,0.6321641842267829,0.6462031787340832,0.7453189592283376,0.7399340787177664,0.8806286640888112,0.8888819292201691,0.8397260273972602,0.7141586940285236,0.059805972988396405,0.03285146615511103,0.7823345220492303,0.81561469966055,0.8284573987792104,0.8139083139083139,0.8198974705650386,0.5158123191401405,0.5036262037807633,0.5517395681843607,0.4987868284228769,0.4621077560686797,0.3767441860465116,0.947589,0.0542304,0.0780654,81,0.00850008,0.0213137,0.29153,55,0.139871,0.0797538,0.00447401
1,0.3695758166747928,0.33192926268885325,0.43229869545659017,0.5842378610095903,0.6533479378988475,0.550230045598324,0.4004552990374385,0.5794099535352404,0.27169424240002127,0.18177254376974084,0.0909180775136581,0.6037519890566986,0.6923866162527788,0.7477672331347016,0.6476897511707707,0.5640488928808529,0.37530932086884794,0.3429347006484693,0.30062683894077014,0.36294445735533354,0.31466971378822506,0.361342855235934,0.921916,0.0306619,0.252714,71,0.00738419,0.0323592,0.0343797,63,0.459586,0.0680663,0.00657019
2,0.0025567273889421926,0.01436879917892575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0731128343092261,0.03618106471150784,0.0,0.0038174009861619007,3.196420009589085E-4,0.0,0.994965,0.0907084,0.418111,68,0.00211381,0.0375342,0.0532226,76,0.355292,0.0898735,0.00339128
3,0.009554140127388533,0.0017152658662092923,0.0,6.026689625484583E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008866371120962668,6.376534353579322E-4,0.039790741915028516,6.401024163865676E-4,7.991050023973267E-4,0.007605767707177913,0.991731,0.09113,0.342696,91,0.00679202,0.0482995,0.0831833,58,0.310674,0.0763037,0.00760075
4,0.31176953044904654,0.24937605667820628,0.2730361844119268,0.1956685645945454,0.24360905491478735,0.10994422621024547,0.18541254746885105,0.16092442932085638,0.04838973352950793,0.04365404898628855,0.03277041050400886,0.29572781521835945,0.05518223488051266,0.08347662327028571,0.06722392869731608,0.03965395154090079,0.30679983857949955,0.285282340442919,0.2872541759236402,0.2651162790697674,0.28889736741701644,0.14435797665369654,0.91796,0.0879707,0.453286,35,0.00352366,0.0352295,0.385775,14,0.499385,0.0409176,0.00775976
5,0.6594022415940224,0.4316304164559096,0.6275929853603022,0.4950815589590337,0.4481204026982136,0.4873476236132037,0.685398215073467,0.7271655366993726,0.22551223857803415,6.776215483652592E-4,0.0,0.35748729310569527,0.5231956039311001,0.5624008461131677,0.3026342778445219,0.46628778401305837,0.640398798142584,0.5338149400553336,0.5452003727865797,0.3180489306047084,0.312788906009245,0.04311414392059554,0.987467,0.052685,0.116204,77,0.00167783,0.0361636,0.495506,19,0.40794,0.0840916,0.00929297
6,0.6479293781643516,0.7012334399269073,0.7380975097796012,0.7311391145746974,0.7390483133408443,0.7563937317685367,0.7429371569396214,0.8238943949362871,0.7394754152277586,0.019770248897028164,0.023782559456398622,0.7989597837660742,0.7171308542088066,0.8280703060996499,0.8101296480980197,0.807640843445762,0.695506869662087,0.6954207920792079,0.6961100099108029,0.5480892536547832,0.3957080371787862,0.3587924318308292,0.965711,0.060242,0.218654,6,0.00897284,0.0285583,0.153921,19,0.259452,0.0777205,0.00746203
7,0.3688745756810863,0.5104497490011269,0.5474949261809066,0.513765341740795,0.6680285187855484,0.6310084241823588,0.46855617643105396,0.5455493545295675,0.5056992393212405,0.364550499445061,0.30410176440698755,0.7308532349887213,0.6202267354580435,0.669732749986822,0.5704101699676921,0.6664154861180884,0.41402054084613216,0.4292291115682241,0.3880674899982606,0.4313351691025913,0.41043023021679303,0.31827070450821837,0.94744,0.0227285,0.36262,82,0.00175933,0.0130868,0.391539,75,0.49497,0.0490001,0.00961707
8,0.6551588343397217,0.7707979626485568,0.7840293113832564,0.8408833522083805,0.8476481609308747,0.9558118003535055,0.9515964996591303,0.8704477113264284,0.900407967362611,0.807573721242786,0.14564258442376843,0.8195186067526493,0.8653776932174628,0.8521091442688113,0.871806700882302,0.85203931145955,0.6542999475616151,0.6510566136185756,0.61186848436247,0.629242819843342,0.46808274021352314,0.583941605839416,0.964884,0.033403,0.435042,26,0.0052605,0.0499488,0.105498,77,0.149527,0.0377496,0.00535622
9,0.36404626543814933,0.40376856036152353,0.5286073561773028,0.5450963458735899,0.6703145347090054,0.5463455000448649,0.6037286758732738,0.5264309570424968,0.22275177748261588,0.11938915196096711,0.06098483426051593,0.5292627006154218,0.6096878181201222,0.5566548647187938,0.4893157119243685,0.4422716358935038,0.3352199323285143,0.36949819612987866,0.2843912136934491,0.20751021510822953,0.16723879940146114,0.14591890468667723,0.934291,0.00507861,0.291344,63,0.00345419,0.0271476,0.300771,52,0.231614,0.0179618,0.00345944
