max_value,0.9665789880860282,0.9286568353925867,0.9768564768564768,0.8980238988359952,0.9924071136908177,0.9978597722797705,0.9987044865675713,0.9067536454336147,0.9905241338466094,0.9966224774128177,0.9992399932443844,0.8781776884773302,0.8981468248296889,0.8906771940479805,0.8936044449698546,0.8860556048648259,0.8805829807240244,0.8796180338134001,0.7604327666151468,0.6639999999999999,0.5893123558931236,0.583941605839416
index_set,24,35,99,10,99,35,99,10,46,64,84,41,46,80,64,99,41,41,23,23,26,8
mean_value,0.5029574214228013,0.533445031317737,0.569746624347951,0.5986234678027909,0.6445342303724693,0.6552586586428174,0.6508846581359401,0.6097592998999365,0.43690626279752903,0.28823797655364786,0.14430987504783294,0.6388963668957075,0.6380143454897812,0.6347250043995187,0.61640477669356,0.6039827158166329,0.4993076944382055,0.4833666462967718,0.4412160420882186,0.37811511310101786,0.3388231048241265,0.3003246611257106

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.5140591204037491,0.6321641842267829,0.6462031787340832,0.7453189592283376,0.7399340787177664,0.8806286640888112,0.8888819292201691,0.8397260273972602,0.7141586940285236,0.059805972988396405,0.03285146615511103,0.7823345220492303,0.81561469966055,0.8284573987792104,0.8139083139083139,0.8198974705650386,0.5158123191401405,0.5036262037807633,0.5517395681843607,0.4987868284228769,0.4621077560686797,0.3767441860465116,0.947589,0.0542304,0.0780654,81,0.00850008,0.0213137,0.29153,55,0.139871,0.0797538,0.00447401
1,0.3909215733785639,0.3875743442728168,0.49629082856615614,0.5038530863875029,0.585945375126002,0.6438559647595143,0.5208690812966656,0.47075196799025787,0.3251233238379768,0.262228581543545,0.11856499227759065,0.6711065959288106,0.4936866133086769,0.7145972553234574,0.6305340646049257,0.6118993779456469,0.3728088627121021,0.34880867824627104,0.3547266958031491,0.28946932464520403,0.3674113340906222,0.3369948545990634,0.921916,0.0306619,0.252714,71,0.00738419,0.0323592,0.0343797,63,0.459586,0.0680663,0.00657019
2,0.06494717215661905,0.3624892703862661,0.5266117580232889,0.30419429851003355,0.5178292467567751,0.6345347144936222,0.3402972167224233,0.3798561151079136,0.0,0.0,0.0,0.6034817100044072,0.7506683961140377,0.4461485831575346,0.6339549592150373,0.571074121359574,0.19816397594175372,0.33645601778342327,0.292302849047694,0.12154696132596687,0.2927906609875375,0.19384858044164033,0.994965,0.0907084,0.418111,68,0.00211381,0.0375342,0.0532226,76,0.355292,0.0898735,0.00339128
3,0.5517513411170716,0.5674728655670456,0.6799455226421518,0.6676406135865596,0.2939556703834648,0.4132635552505147,0.4433900002275779,0.6220115939576016,0.0,0.0,0.0,0.46099072568238764,0.6196096112024612,0.7651340923345942,0.6283477361695842,0.7767928118902512,0.5828172145466095,0.5824455398314518,0.4248859524933145,0.41270588235294114,0.11523929471032746,0.29992169146436964,0.991731,0.09113,0.342696,91,0.00679202,0.0482995,0.0831833,58,0.310674,0.0763037,0.00760075
4,0.36866592495195716,0.30175594576572573,0.3931574457713868,0.3950983536454993,0.47573013127098807,0.4472258494707304,0.4792836620086196,0.35673017032152754,0.04838973352950793,0.04365404898628855,0.03277041050400886,0.4560445531105678,0.43886006981827674,0.37369253595909313,0.18805921916341828,0.16350889807657742,0.3139907072792979,0.37008833384099904,0.3599592114208022,0.3568359868587314,0.27746252223257395,0.2781456953642384,0.91796,0.0879707,0.453286,35,0.00352366,0.0352295,0.385775,14,0.499385,0.0409176,0.00775976
5,0.8428078596070196,0.6090288890760549,0.8636972538513061,0.5940341633381491,0.6843995662781241,0.5114958259203504,0.7159827951116269,0.8819050841722359,0.3201484355233195,0.06859479741979002,0.0,0.6671607029430446,0.8400294876520458,0.6795402559594699,0.8445217186302822,0.7370944041625516,0.7285799880167765,0.7927187316500294,0.47945852353218954,0.41180981595092025,0.12945184267575105,0.3883480605062154,0.987467,0.052685,0.116204,77,0.00167783,0.0361636,0.495506,19,0.40794,0.0840916,0.00929297
6,0.6997509339975093,0.7128482972136223,0.7942109237352126,0.7533733133433284,0.8700013197835554,0.8796833412952979,0.8850094621681243,0.8779060043485533,0.8323753617871265,0.019770248897028164,0.023782559456398622,0.8329084779212236,0.7758102063770239,0.8552545722328903,0.8625253402838111,0.8585012505308858,0.6987067893558816,0.699054491166957,0.639751552795031,0.592023713284829,0.477100309075583,0.5360754304454769,0.965711,0.060242,0.218654,6,0.00897284,0.0285583,0.153921,19,0.259452,0.0777205,0.00746203
7,0.5292954031650339,0.6177062374245472,0.5150307579216157,0.6279732544119259,0.7225585409206832,0.7435226858046466,0.755615081637868,0.618009976371751,0.5975056689342404,0.6306641837368094,0.3838390401316787,0.7258888469846059,0.6562029926371625,0.6619314877282774,0.6753327972840169,0.7631611570247934,0.5067005076142133,0.4965535524920467,0.4777654961312814,0.38123393316195375,0.4417507921302778,0.28548550685955265,0.94744,0.0227285,0.36262,82,0.00175933,0.0130868,0.391539,75,0.49497,0.0490001,0.00961707
8,0.6551588343397217,0.7707979626485568,0.7840293113832564,0.8408833522083805,0.8476481609308747,0.9558118003535055,0.9515964996591303,0.8704477113264284,0.900407967362611,0.807573721242786,0.14564258442376843,0.8195186067526493,0.8653776932174628,0.8521091442688113,0.871806700882302,0.85203931145955,0.6542999475616151,0.6510566136185756,0.61186848436247,0.629242819843342,0.46808274021352314,0.583941605839416,0.964884,0.033403,0.435042,26,0.0052605,0.0499488,0.105498,77,0.149527,0.0377496,0.00535622
9,0.3742160729294627,0.4640948973089555,0.5166072224699063,0.6065798023323417,0.6796099548828409,0.7650688320381851,0.648306490251723,0.634042790905536,0.2372720957625668,0.14628236110838233,0.06985633787018752,0.6094289778500305,0.6967808715453887,0.7395648176524671,0.6795407567178935,0.7279329385403329,0.31212344768228206,0.36202413494232943,0.2927956413873619,0.21665504146322556,0.17361996720714157,0.18030369580222128,0.934291,0.00507861,0.291344,63,0.00345419,0.0271476,0.300771,52,0.231614,0.0179618,0.00345944
