max_value,0.4628413411683374,0.5168571841991029,0.34128097241701727,0.5,0.3622110411863667,0.34940170940170945,0.16074482973099047
index_set,383,58,307,3,202,364,434
mean_value,0.30542860160428953,0.3015939883826548,0.25923139992216815,0.36670281317367387,0.12000960609590228,0.1337280814989718,0.07581919119493123

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.1467780429594272,0.09043796362158318,0.30787348586810226,0.20811455847255367,0.18996352417527673,0.2710767946577629,0.12153635116598083,0.947712,0.0126966,0.00987357,16,0.00542345,0.250274,0.0619413,0.449195,55
1,0.2653441718248938,0.49853672812408545,0.2785145888594165,0.4438738077769626,0.18085812455132,0.1431639226914817,0.0981206520610528,0.902488,0.0729455,0.0746625,98,0.0092817,0.0332649,0.0509128,0.352583,82
2,0.22937584101024744,0.27538875023996934,0.2661683457913552,0.3954758190327613,0.050240192153722996,0.26017344896597727,0.0734279519022275,0.970523,0.0749318,0.0545741,42,0.0450125,0.36956,0.0513308,0.0223325,95
3,0.36975818794000614,0.4444444444444444,0.27622014537902384,0.5,0.09814597035294803,0.06617647058823528,0.045454545454545414,0.758493,0.0477611,0.00133218,98,0.0692029,0.439876,0.0458698,0.412714,80
4,0.36975818794000614,0.4228307254623044,0.2799145299145299,0.5,0.13163040050457264,0.10119047619047616,0.045454545454545414,0.819499,0.0224364,0.0643297,89,0.0145255,0.0963701,0.0861453,0.1874,90
5,0.226530612244898,0.27239046391752575,0.24798154555940022,0.3875816993464052,0.10628790811717637,0.19017911048500702,0.09373864599733561,0.911983,0.0963085,0.0109258,76,0.0246147,0.49141,0.0686114,0.0967634,88
6,0.10939774066116847,0.12363834422657949,0.17346233586731163,0.17184154175588862,0.3195667414469995,0.3053741838272225,0.12232618549049756,0.960262,0.0281081,0.0446396,93,0.0970087,0.452105,0.0845578,0.120133,59
7,0.3378065263564395,0.26452461740876676,0.3180147058823529,0.33582818093068667,0.14158540955470478,0.06617647058823528,0.09333517699115046,0.865512,0.0285133,0.0495082,75,0.0497566,0.247646,0.0178321,0.313909,15
8,0.3309866137828458,0.2199137354960209,0.32680449764236486,0.26961770623742454,0.21146384829436915,0.19845139088041297,0.1028756334330545,0.921939,0.0733765,0.0565014,19,0.0134327,0.0945297,0.0363639,0.169115,52
9,0.2127985694213821,0.2867750608116758,0.2837432513497301,0.20358626722064288,0.04450226848145178,0.3114538890712176,0.035757575757575766,0.978987,0.0603543,0.0347704,96,0.0432007,0.40753,0.0984869,0.217132,82
10,0.36975818794000614,0.44450875416003477,0.23676012461059193,0.5,0.09781045444159198,0.07352941176470584,0.045454545454545414,0.774741,0.0333384,0.0248757,56,0.0759685,0.388093,0.0615112,0.280174,19
11,0.17451214655515734,0.16354258397282673,0.28278369254739033,0.24497517143532754,0.0038280624499599236,0.28808180535966155,0.13654156113285743,0.977858,0.0561388,0.0333115,70,0.0502252,0.000892045,0.0196885,0.336744,58
12,0.3502846299810247,0.26412351149266133,0.2850212249848393,0.35402635431918006,0.15624374290862975,0.1080432172869148,0.08436259373621524,0.86804,0.0948949,0.0864474,43,0.0970943,0.454802,0.023879,0.0190241,51
13,0.1652892561983471,0.2992125984251969,0.28815789473684206,0.30051282051282047,0.06265846010141451,0.2846347607052897,0.015555555555555545,0.979771,0.0801554,0.0315195,99,0.0911661,0.435125,0.0345198,0.386872,56
14,0.3371372356123955,0.33464394932284836,0.28005578800557884,0.36672867393037467,0.14315931069813348,0.11787819253438114,0.08678881388621018,0.852256,0.0702685,0.099691,64,0.0438962,0.450195,0.0435741,0.427,85
15,0.3321306494492974,0.3718232626805863,0.29463722397476344,0.3668355105305252,0.17011492024095765,0.09169054441260749,0.08621279507355462,0.869131,0.030379,0.0147759,4,0.0867649,0.00165539,0.0860612,0.0693268,61
16,0.06720911310008137,0.06146827540668709,0.10199967747137562,0.09197041261919614,0.1489038128107557,0.24843378699503127,0.06599141934627806,0.98137,0.00361739,0.0995653,28,0.0266343,0.380025,0.0280657,0.148295,56
17,0.1650499152382746,0.18163904607922388,0.2713467762011451,0.28095132251611465,0.1575782026282957,0.2701005025125628,0.1311162990137691,0.941311,0.0470297,0.0908373,74,0.0746503,0.070252,0.0382207,0.446,36
18,0.14371498811107086,0.09354332646344088,0.2633610451306413,0.15281989084293512,0.2299829642248722,0.2832298136645963,0.13030536489704436,0.945545,0.0358767,0.0761782,56,0.0714031,0.346919,0.0139325,0.428307,72
19,0.2715425153112092,0.39905610907184064,0.25313283208020054,0.3022026431718061,0.183121638961376,0.1291866028708134,0.08893320039880359,0.88209,0.0795205,0.00109914,18,0.070726,0.188904,0.0254137,0.149943,90
20,0.26467284470654306,0.27577397054403363,0.25366492146596864,0.2706766917293233,0.17383693495765828,0.1520489523456332,0.09251471825063073,0.90053,0.0692204,0.0978368,52,0.0188313,0.234703,0.0439017,0.397176,8
21,0.002907866544230142,0.01106770833333337,0.058151609553478756,0.05217391304347829,0.01266012810248196,0.12352941176470589,0.00242424242424244,0.997317,0.0912114,0.0817548,61,0.0801476,0.0617395,0.0968842,0.278999,38
22,0.13953997809419494,0.1470380818053597,0.15064502704952143,0.14510154553582832,0.2662649081845144,0.3268651722984276,0.15264327671058897,0.980846,0.031793,0.0927686,75,0.0473696,0.384523,0.0768116,0.332309,84
23,0.36975818794000614,0.399791503778994,0.2808510638297872,0.4294605809128631,0.12309294795919479,0.06617647058823528,0.054545454545454564,0.80608,0.00709566,0.0497604,43,0.0160475,0.349921,0.0451573,0.170126,65
24,0.24171888988361678,0.1704858433403107,0.264961915125136,0.2892057026476579,0.11417467307179074,0.2952410770194114,0.1306984414064578,0.963588,0.063122,0.0844823,10,0.00864071,0.399481,0.0490809,0.259413,63
