max_value,0.9361606473849843,0.9366457629844026,0.9382696305773229,0.9615734989648033,0.9818048275631823,0.9922533412786243,0.9958187442635211,0.9869685072257957,0.9984748347737672,0.9795020746887967,0.9756761213720316,0.8561406474516102,0.9903346115459368,0.9981021786988538,0.8934460138289699,0.8893838337627314,0.9350396647208502,0.8136140350877192,0.753934191702432,0.6533806088763907,0.6069928174549397,0.5367136150234741
index_set,60,7,62,62,62,46,165,58,60,158,158,7,93,60,60,60,103,56,165,25,170,41
mean_value,0.4838308477996412,0.4828564650967984,0.527072615981055,0.5540631293681504,0.588189628879492,0.5702341661537093,0.566879317435303,0.5734279785530484,0.41434801045205644,0.2973571466188743,0.19760285761954102,0.5907171456981081,0.5696484773129478,0.5599551918035334,0.5261962693048406,0.5131488761068342,0.4849786343433113,0.46317025615320406,0.4203117167399156,0.36516440771396874,0.30848903567956404,0.26917969684859033

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.6769614217598613,0.6225353933673798,0.6010923584116519,0.5635536136901511,0.5762011026516146,0.23438169508955353,0.005211053336663607,0.7068863602778188,0.7101190476190475,0.7435333896872358,0.7427008834665545,0.6181243414120127,0.5343937001734791,0.5814860938148609,0.4952535826811668,0.7641362074351765,0.5980852082336046,0.7200048673643222,0.5741682405927648,0.183377865279145,0.06698344573881054,0.013428120063191162,0.996895,0.0258519,0.173582,4,0.00465469,0.0268238,0.380716,77,0.59825,0.0450013,0.00428337
1,0.5895511617838072,0.5036240736216304,0.3214462061776485,0.46576522263370945,0.3278699673558215,0.3239533287577213,0.3870131052056789,0.5139229792636479,0.2826646416065477,4.2344173441732913E-4,0.0,0.305949757602468,0.24049222935341852,0.4526924247033769,0.3469755621878786,0.43787907961875416,0.4544369873228934,0.42329293526455813,0.29765329295987886,0.4028241724870938,0.39245573518090837,0.29868928296067854,0.974234,0.0762687,0.266246,78,0.00316148,0.0160718,0.0940178,58,0.7119,0.115336,0.00740275
2,0.14475155775683013,0.12898265994704028,0.20945256715402927,5.165733964700436E-4,5.098919029166149E-4,0.10295126973232671,0.20618556701030932,0.10495133305120607,0.07783618789214852,0.0,0.0,0.1322168356104011,0.24049222935341852,0.13386066321874046,0.13328998699609884,0.23840724592296392,0.4829509241555131,0.3671421852955009,0.29598242310106715,0.19549349412884798,0.2013190954773869,0.028217588963787454,0.989278,0.0962369,0.231943,79,0.00154343,0.0352057,0.493905,82,0.262345,0.176976,0.00137832
3,0.8158547734099517,0.6847935548841892,0.614658964439027,0.5348546824542519,0.5033324265505985,0.02761578044596913,0.0035003977724741286,0.7771730300568643,0.7454175152749491,0.7501825557809331,0.7194761301225179,0.6282062582635523,0.6059625172988061,0.6577436404426024,0.6535642510935098,0.7721879120116577,0.795492168597988,0.7548049745618994,0.53672670321065,0.13718523095936974,0.02398611330282463,0.0039846987567739856,0.997432,0.0344875,0.324079,6,0.00306123,0.0328406,0.158549,56,0.320527,0.042401,0.00974499
4,0.6794377410125638,0.6495979686838764,0.7996847831613199,0.7114105479981119,0.7923553098142917,0.8921196797302992,0.7722534988356056,0.8544875967310335,0.8599560582634876,0.8221100772748777,0.463144211653158,0.8300417930017209,0.8685935483870968,0.6069537387256327,0.6382006594441827,0.5849436741767764,0.6425406203840472,0.7192861255037422,0.6276357639297915,0.5886048836213051,0.4503703703703704,0.4275906457841665,0.966405,0.0413682,0.361547,55,0.00223148,0.0384792,0.283323,2,0.844235,0.149198,0.00199345
5,0.5255510526836018,0.6385191347753744,0.6626223631600716,0.742730210016155,0.7827216331020994,0.7832880434782609,0.851462671077382,0.8603156524568825,0.7419468901382553,0.12502090650610465,0.12302787541894877,0.8138357705286839,0.7756158794916053,0.8578531734425271,0.6490307065137695,0.5022672026925954,0.49824673254701946,0.5177923021060276,0.5418610360913332,0.4695855224751897,0.4591022117523884,0.44187853891417783,0.950102,0.0575092,0.2354,35,0.00280171,0.01909,0.443204,56,0.676328,0.160685,0.00957605
6,0.3659574468085106,0.32297947293543794,0.40420120883839217,0.5180039258986627,0.5753184588423008,0.609498916231034,0.6711283709194134,0.4442336171788227,0.19555851562012194,0.05146064181896681,0.03563707205815969,0.4820924357259623,0.4862403226855767,0.24964438122332855,0.2077948303715671,0.0527735877116573,0.3491317508363868,0.3703536221398209,0.35255930087390763,0.3492641240702643,0.35366605052372146,0.347987987987988,0.918797,0.0568189,0.276689,45,0.00591309,0.0398276,0.269358,63,0.893772,0.101779,0.00963272
7,0.8059380378657487,0.9366457629844026,0.9013318534961154,0.8151101963810994,0.8923785027751455,0.6634351407000687,0.5316902209781298,0.9146812080536912,0.8183394662267902,0.1266627128696094,0.20382863889357394,0.8561406474516102,0.9124993426933796,0.8898665048543689,0.8896604484199376,0.8093908690524897,0.744258872651357,0.7519650655021834,0.6251148545176111,0.6267810632756243,0.4927851047323507,0.3776756213187761,0.982727,0.0638551,0.02212,3,0.00786578,0.0447115,0.232686,10,0.394197,0.262858,0.00681298
8,0.5937648512498812,0.6298659169550174,0.5974467172078386,0.6553037785365579,0.6433068838798773,0.4906593541120877,0.4052165812761993,0.6851658547900719,0.6109482996958806,0.6677037958929682,0.7644346569403344,0.5470633619442569,0.5923400779188136,0.5152946248358841,0.5447315463253642,0.5679943081532968,0.6965102018062215,0.6206782282116425,0.5189521270430045,0.4347010550996483,0.2999546896239239,0.20099750623441393,0.988562,0.0222784,0.147688,44,0.00144373,0.0259044,0.0999423,6,0.440844,0.164051,0.00764759
9,0.34211294323653874,0.3142705944611043,0.39562565094479984,0.4365346026412805,0.565925700365408,0.6892930052648545,0.6406174351379831,0.38727973679429994,0.2901271689866084,0.17020134228187922,0.030763551344367146,0.48269360582854215,0.44343740443159385,0.522818303192135,0.43517330986210656,0.41546839104909383,0.335431719007082,0.34534342789382466,0.34555271383915886,0.3202439302405107,0.32725546058879396,0.2921379310344827,0.911783,0.0503015,0.112978,59,0.00603207,0.0293312,0.153382,64,0.584463,0.237242,0.00562026
