max_value,0.8710277476360254,0.9960670314637483,0.9893760539629005,0.9974229018125591,0.9988112624392895,0.9978597722797705,0.9987044865675713,0.9974672857745884,0.9989827060020345,0.9952778480478961,0.9994932004392263,0.9802989717445779,0.9990461554766573,0.9984053458880705,0.9949423665019995,0.9767534881532199,0.8796180338134001,0.8616776568011041,0.8075534155883238,0.7587221521647751,0.6253667644705254,0.6395816572807723
index_set,478,266,98,83,98,0,54,11,83,294,192,22,101,153,36,495,139,98,364,18,37,220
mean_value,0.5011641467147563,0.5513167729576284,0.5870448944768388,0.6309573690486806,0.6798944803081509,0.6853624352433912,0.6844455726230717,0.6795425416047922,0.4875497834288506,0.3630516196738479,0.18305150978730533,0.6858120752837467,0.6919695966620137,0.6922525385234094,0.6786851683678806,0.6562239023518036,0.5017798368896899,0.4903519262091581,0.433944330740942,0.38231678080042125,0.32413208528048876,0.28635053984432934

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.8046684805957325,0.8459602111246447,0.6787562494518025,0.9743223965763196,0.8932065125410419,0.9978597722797705,0.8964271103231966,0.8277886497064579,0.8962579860054761,0.9889400921658986,0.9877295492487479,0.8552731571392383,0.8179343863912515,0.8894617134192571,0.6544305441322886,0.8206216258247984,0.7437043659663239,0.5219254262011122,0.39714851485148517,0.3039595989167826,0.2659062103929024,0.22201911092646442,0.982018,0.0119029,0.044907,16,0.000542345,0.0505443,0.033085,0.449195,55
1,0.6625625240477107,0.7999702004022946,0.7415591757027596,0.8050309138646565,0.8070809490345682,0.8310061775408311,0.8160810167878747,0.8157229524772498,0.6105422192378713,0.12639499492729123,0.003505989398555842,0.799559277214632,0.8954076367389061,0.8098615588848852,0.8099180846213804,0.8041269158118738,0.5987988867731068,0.6578299290163697,0.5447621784739187,0.39622061760639116,0.18954966263925943,0.09643940603544632,0.967045,0.0726995,0.372058,98,0.00092817,0.00756797,0.0281835,0.352583,82
2,0.6507481693728112,0.5048927038626609,0.5589988081048868,0.5567995865989148,0.6647210533460024,0.4796671242278655,0.5818711453995129,0.7421921286500212,0.12729124236252543,0.1266627128696094,0.07111467928674042,0.6003525782282944,0.8121109374586104,0.7318983875874658,0.734365764274737,0.730349529063185,0.4101500159591446,0.5646604938271604,0.5298917307390554,0.3886449184441656,0.19810126582278476,0.006211180124223614,0.989571,0.0747039,0.270622,42,0.00450125,0.0741678,0.0283692,0.0223325,95
3,0.3726904803800809,0.4056553911205074,0.5041696881798405,0.5966829140632668,0.6962901109388047,0.6683988036558672,0.7199588648356672,0.5271183503725524,0.3854649293670456,0.20986140862518388,0.10601204522241392,0.6901509215412394,0.6632118226600985,0.7271861485378839,0.6331776533922777,0.6194261374117489,0.3692790515212274,0.3723363335641203,0.3807138384470883,0.35983690112130484,0.33824953445065176,0.28114082813126395,0.919367,0.0472862,0.00177732,98,0.00692029,0.0880931,0.0259421,0.412714,80
4,0.47852348993288596,0.5836871791621776,0.6157831805500199,0.7305736532655331,0.7547926162997446,0.7749957990253739,0.7452085682074407,0.8250438853130486,0.6850771424867108,0.7813750185212625,0.4926138695116947,0.7902944763896149,0.8166246118012422,0.8359995724516336,0.8149645562114229,0.8090283861923953,0.4644227606622081,0.47898272552783105,0.4778264545384675,0.39590268886043534,0.3535761669279942,0.36306549628629303,0.939567,0.0217313,0.319883,89,0.00145255,0.0200653,0.0438424,0.1874,90
5,0.3046296296296296,0.12907375643224694,0.2555970149253731,0.3379553871328912,0.2661180631120783,0.12911805078929306,0.2624655788443595,0.014749884108053446,0.12723725506828398,0.1265019461837874,0.0,0.1322168356104011,0.13313531003023393,0.13386066321874046,0.13327029343104513,0.13248778609419753,0.2849293563579278,0.4109090909090909,0.43707198295541017,0.2133103123528488,0.3134621189254452,0.31251880830574785,0.970189,0.096275,0.0502201,76,0.00246147,0.0982987,0.0360495,0.0967634,88
6,0.648717675853996,0.7671164417791104,0.8185466532893794,0.6531497418244406,0.7161831646171615,0.8944439688382844,0.7159827951116269,0.8941405259152786,0.8921105866486851,0.7911578947368421,0.741063128538832,0.8644704275838525,0.8053991475030258,0.7849984816276951,0.8137415629107774,0.8076248588656401,0.7251027715157141,0.7055348258706468,0.7028437255413514,0.6224990062276401,0.5377280265339968,0.5233116699632665,0.986174,0.0274545,0.220458,93,0.00970087,0.0905148,0.0431368,0.120133,59
7,0.5452914798206279,0.728480525837354,0.6800508632073166,0.7572887497941031,0.8496761511938904,0.7844871576798775,0.8671591583668623,0.8757763975155279,0.8024297646165528,0.8660699622269666,0.781734496124031,0.8307703573520797,0.7726458840273633,0.8643312336538107,0.8637129716913761,0.8571063928529992,0.5374178959836331,0.5015337423312883,0.49521008403361344,0.5250296343576183,0.45638774747852073,0.4558914250462678,0.954802,0.0278634,0.245042,75,0.00497566,0.0500238,0.0134809,0.313909,15
8,0.6395152198421645,0.828373168851195,0.7726080205600472,0.8110414266820257,0.715575467535553,0.7122766096113607,0.7404606159716545,0.8177210913083875,0.23116089613034618,0.12660907859078596,0.00379234788471261,0.807729383927789,0.8084276033014266,0.7318983875874658,0.8114097123998114,0.807622112290476,0.6944481785186181,0.695382958675461,0.5930283224400872,0.30204081632653057,0.3926636743538152,0.19032613833307077,0.973485,0.0731345,0.280354,19,0.00134327,0.0197008,0.0217173,0.169115,52
9,0.7223814071951608,0.5825758874978563,0.6361261005396195,0.5688057652711049,0.50639281828074,0.46911461908030194,0.4009467240162946,0.7710537452391029,0.6412084181941615,3.388251238829465E-4,0.12718668131496658,0.7072848847439732,0.7059603000026502,0.7056231003039514,0.6003367699624826,0.6017775850856275,0.7000478392600862,0.4852500394383972,0.5901512812596481,0.2911974623314829,0.09984101748807628,0.015880578053041106,0.992374,0.0599939,0.170623,96,0.00432007,0.0816873,0.0493275,0.217132,82
