max_value,0.9704727501177949,0.997431506849315,0.9945753517545347,0.9425278025813784,1.0,0.9966652415562206,0.9987044865675713,0.9974672857745884,1.0,0.9959497088853261,0.9953734858681023,0.9316573711812204,0.9971439149521342,0.9799873290351433,0.9249274042020156,0.8889985318539556,0.9635971001079747,0.9512715090604538,0.8182520074119827,0.6766592095451156,0.5954181494661921,0.5912230215827339
index_set,168,3,3,54,23,74,8,96,23,23,82,74,190,61,58,96,3,23,0,8,158,55
mean_value,0.48942052832518185,0.524903856204764,0.5437940425151906,0.5809725030840872,0.6351703959307514,0.6284087344196118,0.6226454862926475,0.5903700062548265,0.4191607189961436,0.2608502154031432,0.1307475247522752,0.6214311292165522,0.6062135674849224,0.6048019715254206,0.5845592317715296,0.5687944405451694,0.48801437880350723,0.48059473528422764,0.4299082140278809,0.37576342797737505,0.3280138741352631,0.29498159464819823

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.9083345497007737,0.9844391244870041,0.7084043157296991,0.5833261710356683,0.717423830250272,0.6356382978723405,0.7239884091809293,0.7964173137541324,0.6170230821452818,0.7872178222015163,0.8053747992901208,0.8682258486778951,0.746170156374238,0.8923030118649224,0.8934460138289699,0.8695725466586394,0.6175976272862086,0.8761570827489481,0.8182520074119827,0.4634935304990758,0.5710231516056758,0.33987871787467516,0.996895,0.0258519,0.173582,4,0.00465469,0.0268238,0.380716,77,0.59825,0.0450013,0.00428337
1,0.08420099592575825,0.3834685016793643,0.10678537853232317,0.27382993851687654,0.23652445715425796,0.24450752485890892,0.15462481741906997,0.15416336901736993,0.012964054213317588,0.023889354568315202,0.008169730315535029,0.03596181509088536,0.021773021535209436,9.504438572816021E-5,0.0016809696540741603,0.03519631909115706,0.47598850731974274,0.378682842287695,0.31216625775725215,0.31567520625271384,0.20162419490338845,0.017113433287899493,0.974234,0.0762687,0.266246,78,0.00316148,0.0160718,0.0940178,58,0.7119,0.115336,0.00740275
2,0.010504536049657842,0.2207924144937352,0.0030641774953186207,0.016277667728877843,0.0,0.0,0.131016590428074,0.02444987775061125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1911300505050505,0.36523376215877,0.35732009925558317,0.11710154039610188,6.396929473853064E-4,0.0,0.989278,0.0962369,0.231943,79,0.00154343,0.0352057,0.493905,82,0.262345,0.176976,0.00137832
3,0.962557781201849,0.997431506849315,0.9945753517545347,0.8818972195919773,0.7289173014145811,0.7634106668949576,0.8186963043774718,0.8853152771900127,0.794806517311609,0.5730984245299,0.0,0.8549951927279084,0.872144182348264,0.7680880330123796,0.7921001300390117,0.7997385905674763,0.9635971001079747,0.8022708391027417,0.7485705209656925,0.5731919607532838,0.5241999054075359,0.3041467550485587,0.997432,0.0344875,0.324079,6,0.00306123,0.0328406,0.158549,56,0.320527,0.042401,0.00974499
4,0.5442832269297737,0.7410856070448968,0.6046945965448449,0.6144992074873575,0.7014603858459785,0.6754401768896896,0.7883371277866691,0.6505874625994308,0.6643434304752422,0.4332569993351555,0.01829990604958953,0.6927715441569346,0.6614959061739323,0.8031215772179627,0.7662221012520414,0.6786797054867902,0.6315240083507307,0.5712262480821433,0.6012180590493843,0.4015238095238095,0.399548532731377,0.475295839941442,0.966405,0.0413682,0.361547,55,0.00223148,0.0384792,0.283323,2,0.844235,0.149198,0.00199345
5,0.4969793322734499,0.6171679580257459,0.4796995170810231,0.5492679605039156,0.6584751676223415,0.5839591421116272,0.658475766463805,0.5654370586803019,0.540803936605317,0.05975911056207539,0.034504837791690335,0.6471475156912936,0.5815638766519824,0.5574541817515883,0.5935027370736021,0.40709059876832787,0.5079240082685303,0.49415841584158415,0.4925004933885928,0.47858599592114204,0.3956973898858075,0.3523459061637535,0.950102,0.0575092,0.2354,35,0.00280171,0.01909,0.443204,56,0.676328,0.160685,0.00957605
6,0.34385758669913513,0.2910391968386201,0.37624885751205517,0.41426589842082795,0.45045319676462225,0.45471028774142686,0.3916924850950054,0.34663238057561074,0.2418887446887945,0.0529636541366747,0.03285749173012453,0.4417612040885095,0.41686369591735317,0.20976085335780237,0.2469971930282655,0.09349853110231188,0.34858588181191075,0.34752044013142813,0.35372162883845126,0.2985546908406739,0.3447608884145935,0.30636039935767645,0.918797,0.0568189,0.276689,45,0.00591309,0.0398276,0.269358,63,0.893772,0.101779,0.00963272
7,0.7419354838709677,0.9356678178459561,0.8036789297658863,0.811025641025641,0.9172520940286409,0.8156732513951179,0.8183928449511846,0.8183431952662722,0.9194528875379939,0.0,0.0,0.808083464843065,0.810286499629982,0.8900690387679235,0.889503412567663,0.807951951951952,0.749624511865425,0.7581449955972996,0.7235938641344046,0.5960859329017069,0.4821917808219178,0.5857121280773296,0.982727,0.0638551,0.02212,3,0.00786578,0.0447115,0.232686,10,0.394197,0.262858,0.00681298
8,0.7205693767632726,0.8460731414868106,0.9389703921045612,0.883402736466389,0.9969489456912333,0.8620746559292386,0.9987044865675713,0.8945943659588868,0.9787441249947072,0.9946068930648015,0.9755820795158443,0.8680263947210558,0.8886835295981412,0.8712869406670212,0.8420174719402901,0.8810834194525223,0.7130000000000001,0.8516217035465292,0.6539870386024232,0.6766592095451156,0.42522068095838583,0.4420403881458169,0.988562,0.0222784,0.147688,44,0.00144373,0.0259044,0.0999423,6,0.440844,0.164051,0.00764759
9,0.3588310038119441,0.3572814027465281,0.4256980161645849,0.4986545576858392,0.5861453886192175,0.6278615211408556,0.5902703121519404,0.4373770969386517,0.3021960654454596,0.21073234591986034,0.032961237584600456,0.5414622400144478,0.5356444760350871,0.5753064577277898,0.48144318051246693,0.4983222625487913,0.359439966058549,0.36087919577440786,0.3532951086571813,0.3357229811984309,0.29891304347826086,0.2982205964411929,0.911783,0.0503015,0.112978,59,0.00603207,0.0293312,0.153382,64,0.584463,0.237242,0.00562026
