max_value,0.9361606473849843,0.9880417267407344,0.9013318534961154,0.9222398729150119,0.9818048275631823,0.992929551069086,0.9958187442635211,0.9974672857745884,0.9984748347737672,0.9795020746887967,0.9750329597890574,0.8569378351839263,0.9758786686681505,0.9981021786988538,0.9897618908325045,0.8893838337627314,0.8699345495056399,0.8682791782019526,0.7359667359667359,0.6533806088763907,0.5846197422461408,0.5797893094030433
index_set,60,60,7,163,62,55,165,190,60,158,158,10,62,60,58,60,94,60,7,25,100,4
mean_value,0.47975098055489396,0.4779608780733288,0.5169843836328022,0.5491788512749641,0.5765247068612139,0.563586389601894,0.5578689851740445,0.562629701520493,0.4094764425303019,0.2959644248349733,0.19678918746684534,0.58142756665337,0.5531451830224124,0.5429964647938235,0.5058146616998708,0.49258216757230744,0.4825260813409883,0.46137404476677074,0.4201716459140362,0.36433117907755874,0.3082671536429288,0.27244595177980324

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.6769614217598613,0.6225353933673798,0.6010923584116519,0.5635536136901511,0.5762011026516146,0.23438169508955353,0.005211053336663607,0.7068863602778188,0.7101190476190475,0.7435333896872358,0.7427008834665545,0.6181243414120127,0.5343937001734791,0.6301772485979066,0.4952535826811668,0.7641362074351765,0.5978562541870036,0.7200048673643222,0.5741682405927648,0.183377865279145,0.06698344573881054,0.013428120063191162,0.996895,0.0258519,0.173582,4,0.00465469,0.0268238,0.380716,77,0.604828,0.0741864,0.00428337
1,0.5895511617838072,0.5036240736216304,0.3214462061776485,0.46576522263370945,0.3278699673558215,0.3239533287577213,0.3870131052056789,0.5139229792636479,0.2826646416065477,4.2344173441732913E-4,0.0,0.305949757602468,0.10735691932318459,0.4526924247033769,0.3469755621878786,0.3450692354003613,0.4544369873228934,0.5623117739853721,0.3409579367516119,0.4028241724870938,0.39245573518090837,0.2059323343117565,0.974234,0.0762687,0.266246,78,0.00316148,0.0160718,0.0940178,58,0.697169,0.128832,0.00740275
2,0.14475155775683013,0.04329004329004327,0.10359516101550514,5.165733964700436E-4,5.098919029166149E-4,0.10295126973232671,0.20618556701030932,0.10495133305120607,0.07783618789214852,0.0,0.0,0.23940061701189952,0.24049222935341852,0.13386066321874046,0.13328998699609884,0.23840724592296392,0.4829509241555131,0.3671421852955009,0.29598242310106715,0.19549349412884798,0.10354654844838507,0.028217588963787454,0.989278,0.0962369,0.231943,79,0.00154343,0.0352057,0.493905,82,0.331905,0.176723,0.00137832
3,0.8141535253486251,0.6847935548841892,0.5946201826687458,0.5348546824542519,0.5033324265505985,0.02761578044596913,0.0035003977724741286,0.7771730300568643,0.7454175152749491,0.7196340843638828,0.7194761301225179,0.6282062582635523,0.6059625172988061,0.6577436404426024,0.5903363587827015,0.7721879120116577,0.795492168597988,0.7543785310734463,0.53672670321065,0.13718523095936974,0.02398611330282463,0.0039846987567739856,0.997432,0.0344875,0.324079,6,0.00306123,0.0328406,0.158549,56,0.379178,0.0721662,0.00974499
4,0.6790154152163104,0.6491401184099239,0.8006617459913464,0.6591388016381059,0.7318908748824082,0.9830479885299823,0.7722534988356056,0.8861236802413273,0.8599560582634876,0.8234086242299794,0.463144211653158,0.8304501106829548,0.8685935483870968,0.5840899265023778,0.5904955039090642,0.5849436741767764,0.7161526997592571,0.7192861255037422,0.6278576478906435,0.5882688739831596,0.5305765870704717,0.5797893094030433,0.966405,0.0413682,0.361547,55,0.00223148,0.0384792,0.283323,2,0.804691,0.155142,0.00199345
5,0.5255510526836018,0.6387848522679984,0.6629575133345595,0.742730210016155,0.7827216331020994,0.7832880434782609,0.851462671077382,0.8606307222787386,0.7419468901382553,0.2252875479246541,0.12302787541894877,0.8138357705286839,0.7756158794916053,0.8578531734425271,0.6490307065137695,0.5022672026925954,0.49824673254701946,0.5476074456680635,0.5419275629220381,0.46953070277842635,0.4591022117523884,0.4156683110171482,0.950102,0.0575092,0.2354,35,0.00280171,0.01909,0.443204,56,0.668267,0.164066,0.00957605
6,0.3672597864768683,0.33131797491226245,0.3920745771399282,0.5241470110370329,0.5970999339643408,0.6824199201114155,0.6711018221424156,0.45079988640666413,0.27997671711292205,0.05146064181896681,0.03563707205815969,0.4850091352921796,0.5775207027250355,0.2647672961811517,0.22268740031897927,0.0527735877116573,0.37126019945602906,0.37174199210179903,0.3600816048962938,0.35885865037489584,0.3275588277753717,0.3147397695669448,0.918797,0.0568189,0.276689,45,0.00591309,0.0398276,0.269358,63,0.84494,0.1183,0.00963272
7,0.8046684805957325,0.8490627546862266,0.9013318534961154,0.8151101963810994,0.8173376711400298,0.6634351407000687,0.5316902209781298,0.8176510407852429,0.8895622895622896,0.1266627128696094,0.20382863889357394,0.8091475726450706,0.9124993426933796,0.8898665048543689,0.8896604484199376,0.8093908690524897,0.8052450558899398,0.7511996510106151,0.7359667359667359,0.6267810632756243,0.4927851047323507,0.3781922525107604,0.982727,0.0638551,0.02212,3,0.00786578,0.0447115,0.232686,10,0.439035,0.243448,0.00681298
8,0.5937648512498812,0.6792210820895522,0.5974467172078386,0.7751001335113484,0.6433068838798773,0.4906593541120877,0.4052165812761993,0.6851658547900719,0.6242020224846054,0.6677037958929682,0.7346706501636079,0.576239333604226,0.5923400779188136,0.488473612839708,0.5447315463253642,0.5679943081532968,0.7026996625421822,0.6206782282116425,0.6072116001539843,0.4347418939482617,0.3066065023718616,0.20057378071597853,0.988562,0.0222784,0.147688,44,0.00144373,0.0259044,0.0999423,6,0.476935,0.166681,0.00764759
9,0.3415646853146853,0.30600116794338905,0.3766892871643176,0.4357212725324887,0.5640792169360346,0.6873027172964042,0.640192013964652,0.37855772618721373,0.2902208201892744,0.169719142481094,0.030763551344367146,0.4863005098068761,0.4240580952891366,0.5156388078086924,0.41827239141103156,0.41458400295949493,0.3419383067162547,0.3445890597979431,0.345037951337164,0.34786107843744196,0.3268002781817032,0.2928447977877636,0.911783,0.0503015,0.112978,59,0.00603207,0.0293312,0.153382,64,0.593626,0.223546,0.00562026
10,0.6588778877887789,0.8438360133275388,0.8785126029448466,0.8373116030864642,0.9629969218678368,0.982385166455963,0.9079938421482224,0.9611942726976895,0.8628347485303723,0.9541632983023444,0.5559712889431887,0.8569378351839263,0.7372516815266699,0.732700474644017,0.8780601132568607,0.6891339109739318,0.7220295885344429,0.6834934922758789,0.6304257957833815,0.5803229337712097,0.5003734129947722,0.44796814936847884,0.965956,0.0390774,0.352781,95,0.00494569,0.0403052,0.0888817,10,0.339932,0.163478,0.0020442
11,0.39866408859201974,0.4044615459548975,0.48897318606121465,0.5006828735318218,0.5816492673115602,0.7425415787863663,0.689731867045595,0.4157503234152652,0.13336864406779658,0.07595259334777626,0.05228150686920907,0.6607658691948745,0.2719226018937835,0.11723563696919237,0.11518161180476727,0.10112978782033621,0.39178107435732057,0.4097442598469293,0.41143426655794146,0.37448457859145634,0.39393128067826866,0.32750698261104605,0.928225,0.0671164,0.0128512,88,0.0033497,0.0375811,0.418237,27,0.818488,0.308111,0.0029302
12,0.6049053585710478,0.5862944162436547,0.6448081841432225,0.6363792954956506,0.6404039717083787,0.7282875264270613,0.6096890685684435,0.5388324873096446,0.1270755676042019,0.1263415870869602,0.12638562311051393,0.8021322335804852,0.805348324051697,0.8096772970308294,0.7339969869730896,0.7250747339471482,0.6055511075527089,0.6052280608162177,0.5643263255321962,0.5015636634400595,0.3056279711700659,0.2147182114578482,0.964496,0.092482,0.142347,31,0.0019691,0.0401117,0.343574,45,0.223029,0.161232,0.00192764
13,0.4241046502353035,0.44269575715764053,0.5232888439238881,0.5473161650636054,0.6202125864687025,0.695825349647712,0.6982775462359989,0.5462084458571326,0.47936313821405896,0.3831913076296606,0.17051007118866468,0.6293946449359721,0.5844169934437917,0.4710844155242253,0.42830228769742895,0.5764830739937259,0.3796854082998661,0.4123089632383312,0.3707098283931357,0.3105341164846023,0.34589737793851716,0.34777591876766856,0.927398,0.0260813,0.337964,74,0.00871879,0.0183961,0.322088,84,0.523043,0.214336,0.00820891
14,0.7306892067620285,0.44182825484764543,0.6953587431542845,0.5414996161392135,0.3424973695821878,0.6573892256467173,0.5435479835316062,0.6385950063478629,0.5371108660615829,0.10295487257641178,0.07669666134050968,0.6381665932128691,0.6526812708852703,0.6520383328262853,0.5604444313111314,0.7889081042399666,0.5986626637554585,0.6810862445414847,0.4918190567853705,0.49381785283474067,0.29772866789441377,0.31642660128715905,0.971367,0.0633313,0.137037,45,0.0044855,0.0214277,0.397594,44,0.530038,0.282795,0.000400045
15,0.44191664988926915,0.38097640973886715,0.5012917671374439,0.5984748010610079,0.6364865321572206,0.47868388767720826,0.6892980437284235,0.46209733220573534,0.07538943131847653,0.07009905300968755,0.057444124591648604,0.4224190860450837,0.13266735378841932,0.13365227626533016,0.0850659281610383,0.11670140974455001,0.3791208791208791,0.4240938371310451,0.384028484231943,0.3827521206409048,0.3700867318693486,0.3324068927181768,0.936596,0.0876237,0.198529,68,0.00571069,0.0407475,0.250256,93,0.527979,0.196734,0.00889078
16,0.46157403125867014,0.5586558291884023,0.6440906307409675,0.7227921235703336,0.7511018175969117,0.6605084138918725,0.7879060290063526,0.6187646220453384,0.6511198053048273,0.5649801349863577,0.37110599317737103,0.6972086221148344,0.8047532517214996,0.6331867123620369,0.6811750923673066,0.5486410746852898,0.4634599312842418,0.4686405337781484,0.3853432794584888,0.3332207016951062,0.2635529230908351,0.26095745658366254,0.937761,0.0181924,0.0157841,74,0.00635987,0.0378982,0.475076,68,0.359806,0.28949,0.00667937
17,0.40809399477806785,0.44726107226107226,0.5226022012578616,0.65078915705287,0.7256114616030084,0.7671412627070073,0.7067806196191793,0.5640900476655373,0.5017724385800797,0.4337639778525676,0.03818004069014713,0.7703247395239181,0.6897549317624369,0.7285598956716139,0.7428627585868016,0.6221399035148174,0.421917156006983,0.4156200941915228,0.4163763066202091,0.4069966566093126,0.3225109836920098,0.4036262203626221,0.929236,0.0425581,0.237912,94,0.00524711,0.032381,0.497924,9,0.571737,0.331024,0.0028206
18,0.3727827245320059,0.3078432071904983,0.3817191209593961,0.4389882499740043,0.6573198198198198,0.6959828569703921,0.5294341301621972,0.4181546192056156,0.3076473561185167,0.2210703719870023,0.10163714391678291,0.523737172461891,0.5089336255569908,0.6252365930599368,0.5760335301962278,0.4300229303392109,0.3615977575332866,0.3679523279418506,0.2999066619997667,0.3179896907216495,0.30678190836320773,0.36239488248400775,0.91576,0.0272639,0.201928,18,0.00841551,0.0341601,0.0380204,92,0.652238,0.132875,0.00116365
19,0.32748974263334574,0.27736432527950516,0.34370815754237927,0.42875579561206445,0.5502335821296247,0.5924948922854114,0.603437037037037,0.34771907097251786,0.24720586631774066,0.06981372700571964,0.03136172614940724,0.39798924900474575,0.4039356542885494,0.4890321315654028,0.42847929272799734,0.40360047446353275,0.32004743395480595,0.3307127882599581,0.3314946151825584,0.2835111080915823,0.2713941210975689,0.284811554953735,0.905186,0.0684641,0.0704283,48,0.00218783,0.0256847,0.068295,7,0.460839,0.303897,0.00219755
20,0.3506484824174355,0.44466145833333337,0.5045984058859596,0.6082635808850502,0.6442341395022784,0.6724656939849216,0.7333564603109528,0.5816038944401742,0.3083245434994041,0.1250922898428436,0.05113996092340578,0.7058536585365853,0.546183305205764,0.550821491750396,0.4774420790137708,0.448125485570407,0.3449649765439239,0.2794667205332795,0.3108856566074849,0.22848916614373782,0.1564046402206538,0.18298032334879055,0.929818,0.0073908,0.0908627,57,0.00684483,0.0361746,0.474871,36,0.392191,0.0825946,0.00317842
21,0.4142960288808665,0.4399286119899408,0.5327736519212141,0.4276117474808372,0.10405331882480962,0.46370967741935487,0.4121647749243682,0.5356749894202285,0.4821323467585975,0.10234686096755063,0.0,0.5460555310709564,0.42560865644724977,0.5315677644559114,0.3469755621878786,0.45093699631937256,0.3792381749686061,0.38045912653975367,0.2923880597014925,0.3695086705202312,0.11777638190954776,0.2127392532161908,0.968208,0.0713515,0.412833,56,0.00929392,0.0344358,0.0158968,16,0.834647,0.0772801,0.0011215
22,0.5122350884859078,0.5552884615384616,0.6330398517145506,0.6940346651756913,0.7749601699415826,0.7110083889744907,0.8208549050842957,0.8773021403683424,0.734961902209289,0.12591594373789272,0.16056381780763407,0.8107740334587369,0.615545340576682,0.6967252366744023,0.6520137886332165,0.8568876722498028,0.5361038961038961,0.5619913328400803,0.59792365091381,0.5502979737783076,0.45678524374176543,0.3616498224528817,0.955661,0.0644153,0.446637,51,0.000579078,0.0462556,0.142315,10,0.841813,0.308271,0.00687467
