max_value,0.8796180338134001,0.9364199019371433,0.9750706332059166,1.0,1.0,0.9978597722797705,0.9987044865675713,0.9974672857745884,0.9967856538656742,0.9959497088853261,0.9881419624217119,0.9859216129312592,0.9996818495148205,0.9984053458880705,0.9949423665019995,1.0,0.8854396470217459,0.8616776568011041,0.8135361216730038,0.7130870212478008,0.6678220681686886,0.5828185605516449
index_set,139,54,202,266,83,202,17,11,98,83,192,83,486,153,36,486,486,98,98,6,275,275
mean_value,0.5040443648655306,0.5522068966976149,0.586534364110764,0.6400879062656277,0.6777190740463356,0.6925773575089749,0.6801833291330367,0.6748946521300293,0.48654429208574057,0.36531555940256993,0.19968133463066431,0.6868324306420189,0.6951187297709879,0.6961177569812608,0.6784550723034914,0.6534516291440997,0.503886414969806,0.48312249695922505,0.42791497581746346,0.3777880856736219,0.3179073476584992,0.28182601356398806

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.8048990116029222,0.8140022358859698,0.7456919829152142,0.7778529735216987,0.7919139843299529,0.992620494820649,0.7856459901995936,0.9433133732534931,0.8165598208079092,0.8159695817490494,0.975515251442704,0.7230868075385495,0.9830022420355597,0.8710457451389579,0.889503412567663,0.8185484764542936,0.7101870576339737,0.6844216067176339,0.365224358974359,0.4009401625697777,0.23991571342564721,0.19558407823363133,0.982018,0.0119029,0.044907,16,0.000542345,0.0505443,0.033085,0.449195,55
1,0.5991499340466071,0.8529174902994363,0.6803420653821173,0.7116854125525887,0.8070809490345682,0.8077503347968334,0.7150146021067942,0.8157229524772498,0.711264059090146,0.0014758591608686755,0.0,0.799559277214632,0.8066196590191539,0.8772900620653555,0.7341487915854163,0.8039539108816217,0.6153220338983051,0.6000293556436225,0.681484502446982,0.416324044464748,0.30035119865628335,0.20795107033639149,0.967045,0.0726995,0.372058,98,0.00092817,0.00756797,0.0281835,0.352583,82
2,0.5074960127591707,0.6227464195450716,0.6352540448481407,0.7247410718122824,0.6404039717083787,0.5851921757035004,0.5952754830340684,0.7421921286500212,0.18026114973715446,0.43540911772141233,0.12718668131496658,0.7073493126542122,0.7325590624090584,0.7187167401550859,0.734365764274737,0.597509573930008,0.7174703557312253,0.6507481693728112,0.5186330601515385,0.45659366629903897,0.09668640947654872,0.048872180451127845,0.989571,0.0747039,0.270622,42,0.00450125,0.0741678,0.0283692,0.0223325,95
3,0.3609353023909986,0.40608465608465605,0.49716227451830963,0.6098693374013398,0.662845951326013,0.732412259806257,0.6777723137447751,0.5763733377567665,0.30228336228617936,0.30212444093659563,0.07898009950248752,0.6842939046469523,0.6294441024770233,0.7034651947255444,0.6505583406846397,0.5718178382131901,0.3624075693726644,0.39118629908103597,0.353037157902544,0.33257388360890505,0.3222154430208122,0.330554425918395,0.919367,0.0472862,0.00177732,98,0.00692029,0.0880931,0.0259421,0.412714,80
4,0.4647794601711652,0.6252925994838245,0.6750354062057422,0.7878168747635264,0.8156276079498037,0.7749957990253739,0.753678615414533,0.825559155314415,0.6832169640548229,0.780103550295858,0.45685233101820333,0.8021064301552107,0.8166246118012422,0.8359995724516336,0.8143938373690306,0.8096668128014028,0.4782483710233806,0.476554836178144,0.3565321934277318,0.3740576911095882,0.37135747495252436,0.3371252518070862,0.939567,0.0217313,0.319883,89,0.00145255,0.0200653,0.0438424,0.1874,90
5,0.28479522987603956,0.22034311732661194,0.23057346454021044,0.3379553871328912,0.3701713819368879,0.2210020590253946,0.2624655788443595,0.23165467625899283,0.07537307141050498,0.1265019461837874,0.0,0.1322168356104011,0.13313531003023393,0.13386066321874046,0.0,0.22505404756185443,0.3302712160979877,0.4397617956939991,0.22520724593183916,0.3215434083601286,0.3123023641017919,0.09643940603544632,0.970189,0.096275,0.0502201,76,0.00246147,0.0982987,0.0360495,0.0967634,88
6,0.6752284514694986,0.7903800925574691,0.7259530791788856,0.7783614335338473,0.8932854529439664,0.8443210348669006,0.8103723703453707,0.9957859249894648,0.8918143459915612,0.8760271972635882,0.8699460916442049,0.7167928667468686,0.7504283546286777,0.8109626480412997,0.8906038291605302,0.7989925912540657,0.7463142515606322,0.6999088660330686,0.7888253409590849,0.7130870212478008,0.5630367143746111,0.4092546723710876,0.986174,0.0274545,0.220458,93,0.00970087,0.0905148,0.0431368,0.120133,59
7,0.5472547254725473,0.6713317297179094,0.679685208720305,0.7572887497941031,0.7753461959950851,0.7844871576798775,0.7823732444656034,0.8757763975155279,0.8725657164013328,0.8661410856532807,0.6919191919191919,0.8413051538746755,0.851799362251354,0.8641402423304976,0.8634170021988063,0.8570865045479859,0.5688398461226969,0.5706306489286077,0.5570693309112927,0.4889559123569591,0.4055176505487986,0.4495818062212198,0.954802,0.0278634,0.245042,75,0.00497566,0.0500238,0.0134809,0.313909,15
8,0.6399661542800733,0.6722253703553793,0.6861170299950827,0.8110414266820257,0.7163277085526092,0.8140011616385937,0.8181384573453256,0.8177210913083875,0.5103762443057196,0.12660907859078596,0.0,0.8075878384298607,0.8084276033014266,0.810968893615405,0.8113499418065029,0.8077190959963494,0.6399661542800733,0.6936090225563909,0.5796605122096485,0.4919269654443942,0.4083448381653628,0.111496062992126,0.973485,0.0731345,0.280354,19,0.00134327,0.0197008,0.0217173,0.169115,52
9,0.580949336742848,0.7579081632653062,0.7122424655201771,0.7114370256014408,0.7122896481387048,0.5854106263617492,0.469060786054027,0.5917900973338976,0.514465088656995,0.07676014572566292,0.20823121778078257,0.6796719896417782,0.8110328016533305,0.679405842799073,0.7337795706074441,0.6019702772358311,0.5067750677506775,0.6738373932299906,0.5216985534297713,0.5242331288343558,0.26833358743710933,0.3204692806421735,0.992374,0.0599939,0.170623,96,0.00432007,0.0816873,0.0493275,0.217132,82
