max_value,0.8805829807240244,0.9981151473612063,0.9891536472968416,0.9957122030700626,1.0,0.9978597722797705,0.9987044865675713,0.9974672857745884,1.0,0.9966224774128177,1.0,0.9795372129165947,0.9906902935731288,0.9988604421484464,1.0,0.9000180921796553,0.9475200970726528,0.9674771565742605,0.8560383485387351,0.6835158242087895,0.6995412844036697,0.7497367035281728
index_set,302,486,16,16,93,48,18,409,93,409,93,16,294,486,486,364,83,486,486,290,437,120
mean_value,0.3911753491106885,0.3962506109505145,0.41087618356032,0.4221722554788786,0.4587362549040963,0.4659948148442971,0.4668630361349127,0.4333782579842857,0.3056401748886335,0.19271015406187356,0.10993076110057586,0.43609259149853485,0.428373138488616,0.4106314675695846,0.3997051186355858,0.39123902497369456,0.3906656886829172,0.38470312464791817,0.34500476478691244,0.3032628024058333,0.2689199128289436,0.24142896982217477

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.6288429290106204,0.6216856946783954,0.3469692776086355,0.7866231280261232,0.6492091821035141,0.6799794309221803,0.5414269781638883,0.8628549759838207,0.6546777810688444,0.6047060070484114,0.5555778692639823,0.7473363241272957,0.6837999268619723,0.751269035532995,0.8138051526664634,0.6675209104759214,0.6150919467343057,0.7289920995930093,0.48814165042235214,0.49579463816365865,0.48553682342502213,0.4690429860251194,0.982018,0.0119029,0.044907,16,0.000542345,0.033085,0.449195,55,3.03368,0.36242,0.00339889
1,0.21812839059674505,0.22292707932846345,0.20411734431291817,0.09163683947196244,0.008936970837253089,0.03932783916876792,0.0026805692802217562,0.14248817751909781,0.022697040239441302,0.0335598276433543,0.021447830705123017,0.009126409547628445,0.030704048540642348,3.037148117916999E-4,0.00635320295116526,0.01186908187755975,0.2142414092544349,0.200749063670412,0.10590943975441292,0.1194531062604941,0.05459554219884799,0.07591977359419222,0.967045,0.0726995,0.372058,98,0.00092817,0.0281835,0.352583,82,2.92243,0.134561,0.0060474
2,0.7655319798504046,0.698073525700345,0.6931567328918322,0.6737673939185707,0.7804399323181049,0.5308853809196981,0.7623947933349235,0.7622736842105263,0.0,0.0,0.0,0.7928162185985015,0.7528852502310841,0.7642625253925162,0.7587904878444323,0.7768891672488136,0.6913016073116924,0.6301265436804391,0.5216985534297713,0.4111667187988739,0.4040247678018576,0.0015933715742511012,0.989571,0.0747039,0.270622,42,0.00450125,0.0283692,0.0223325,95,3.54477,0.789179,0.00481289
3,0.23762817654926438,0.1800826667459633,0.2537466510381782,0.2526229761668103,0.20340200557423216,0.2514876951805215,0.30404509653197864,0.20438631058837797,0.12786033761361992,0.09216362012855239,0.03325867861142218,0.20911632464837449,0.15249771066549556,0.11110467389887457,0.11449428852409416,0.06753335208848488,0.1917808219178082,0.20869620093398966,0.25989847715736036,0.20764521273859138,0.2632058287795993,0.2176959426429852,0.919367,0.0472862,0.00177732,98,0.00692029,0.0259421,0.412714,80,2.83715,0.15289,0.00440742
4,0.28599285017874554,0.42325520377820536,0.42006439478466007,0.48381094157052473,0.37135670957242195,0.509692323847527,0.38492484384876635,0.4730207495184454,0.23511436099720917,0.17786340337983275,0.11397967352337202,0.36480450614975024,0.33974755599554507,0.44799003142268934,0.37629525535298247,0.4431575930831545,0.26550200248584455,0.2679041319963018,0.2745290975541186,0.27975841444822325,0.2804111936036551,0.21465847688542006,0.939567,0.0217313,0.319883,89,0.00145255,0.0438424,0.1874,90,3.68976,0.30988,0.00215906
5,0.048448723826990725,0.06702202712236416,0.0171213652183676,0.018379850238257278,0.0,2.5732519042065416E-4,0.0,0.04020268855479714,0.016160174613834788,0.030395390589119442,0.0153185515504356,0.001759711407329223,0.0010591256917414915,9.497217315324047E-5,0.0041226184516622855,0.004954474022001221,0.031602002503128945,0.024470588235294133,0.023639945446279786,0.009618367980142706,0.007197621655453013,0.004420587306599333,0.970189,0.096275,0.0502201,76,0.00246147,0.0360495,0.0967634,88,3.66502,0.447915,0.00594062
6,0.6572504708097928,0.729527692830445,0.7737134909596662,0.6894924764090793,0.8061845495915346,0.7762299678304755,0.5872224842886924,0.8934770547673774,0.6689788527055647,0.48199849987498955,2.5319660716549564E-4,0.754957312035252,0.7949054384218623,0.702636218860198,0.7503474290252135,0.8313210227272727,0.6138009517897787,0.6925786163522012,0.5823856762642148,0.6377632534495279,0.6307546274323683,0.578759636405477,0.986174,0.0274545,0.220458,93,0.00970087,0.0431368,0.120133,59,3.10927,0.533841,0.00730325
7,0.5343761826668348,0.6930377646512245,0.7130847457627119,0.813316641890306,0.901472465211842,0.7295852184642642,0.9144274759971648,0.8525508942553367,0.829803273980471,0.6769067796610169,0.5007658882740942,0.7199126293551044,0.8364521981162554,0.8418049031121551,0.8421580369328469,0.8403002309468822,0.5703564727954972,0.6131784539473684,0.45762577995419007,0.5440443213296399,0.4826838020529083,0.3275565740475509,0.954802,0.0278634,0.245042,75,0.00497566,0.0134809,0.313909,15,1.64646,0.781716,0.00433105
8,0.47933543869284634,0.41541253875822426,0.5157057848014828,0.433655935216275,0.47984676882078614,0.2792251169004676,0.5033611128782578,0.5710428755641521,0.09587916598259727,0.014864581146336375,0.007872047982006802,0.7051791109192922,0.354500585152394,0.3589658601259529,0.38045247620361433,0.3220814789455666,0.5275448329247838,0.4755844515147323,0.5295035460992907,0.5023856300870053,0.4872959545777147,0.21186934966462523,0.973485,0.0731345,0.280354,19,0.00134327,0.0217173,0.169115,52,1.43206,0.386137,0.00279527
9,0.40088453640815036,0.013004791238877433,0.15800238622805518,0.05939571317896186,0.0,0.1286890871654084,0.2624655788443595,0.0,0.0,0.0,0.0,0.07297249802302086,0.13313531003023393,0.0,0.0,0.0,0.3202696347389873,0.1107137303685275,0.3047069825436409,0.2911392405063291,0.008552423186569569,0.11356416772554001,0.992374,0.0599939,0.170623,96,0.00432007,0.0493275,0.217132,82,1.14199,0.283858,0.00160314
